name;location;description
Kızıldağ Milli Parkı;31.3655162,38.0401825;Sarkikaraagac ilcesine mesafede 59.600 ha'lik bir alani kapsamaktadir.20.02.1993 tarihinde milli park olarak ilan edilmistir. Isparta merkezine , Konya iline 150 km'dir. Parkin guneyinde Beysehir Golu olup, golden esen guney ruzgarlari Bebik Vadisi ile Yertutan Mevkii'nden gecerek milli parka ulasilmaktadir.Detayli yazi: http://www.kampyerleri.org/kizildag-milli-parki-kamp-gezi-rehberi/Fotograf: Niyazi Solak - niyazisolak2@gmail.com
Gölcük Tabiat Parkı;30.5025101,37.7310139;Golcuk Tabiat Parki, yeni yetistirilmis agaclarla kapli olup, bir krater golu olan Golcuk Golu'nu icinde bulundurmaktadir. Sehir merkezine uzaklikta olup, ( gol yuzeyi) bir alani kapsamaktadir. Asfalt yolla ulasim imkani bulunur. Golun etrafi 150-300 m'yi bulan volkanik kullu tepelerle cevrilidir. Daireyi andiran golun capi derinligi yer yer 32 m'yi bulur. Gol kiyisinda piknik veya kamp icin tum alt yapi tesisleri mevcuttur. Golcuk Tabiat Parki'nda kizilcam, karacam, mese, sedir, akasya, akcakesme ve diger maki turu bitkiler ile tavsan, tilki, sincap, kaplumbaga, yilan ve cesitli kus turleri bulunmaktadir.Kaynak: https://www.instagram.com/neseodbs/
Davraz Tepe;30.871582,38.0275405;Egirdir Golu, Isparta ili sinirlarinda yer alan bir tatli su goludur.
Beyşehir Gölü;31.5211487,37.7772277;Beysehir Golu, Turkiye'nin ikinci buyuk golu, guney ve batisinda Toros Daglari, dogusunda volkanik bir olusum olan Erenler Dagi, guneydogu kuzeybati yonunde ise Anamas Dagi ve Sultan Daglari ile cevrili tektonik bir cokeltide yer almaktadir.
Kovada Gölü Milli Parkı;30.8904541,37.6095145;Kovada Golu Milli Parki, Isparta'nin Egirdir ilcesi sinirlari icerisinde yer alir. Milli park sahasi icerisinde konaklama ve piknik yapma amacli hazirlanmis yerler mevcuttur. Burada otelde degil cadirlarda ve karavanlarda kalinalabilir.
Yazılı Kanyon Milli Parkı;30.9391201,37.4820356;Yazili Kanyon Tabiat Parki, Sutculer, Isparta.Kaynak: https://www.instagram.com/unalsengun/
Karacaören Barajı;30.8164787,37.3180249;Burdur Karacaoren BarajiKaynak: https://www.instagram.com/ersinbasar35/
Kocakoru Tabiat Parkı;31.7367554,37.4410644;Konya ili Seydisehir ilcesi Tarasci Beldesi hudutlari dahilinde yer alan Kocakoru tabiat parki 1998 yilinda tescil edilmistir.
Beşikgöl Yaylası Dörtyol;36.2882122999999,36.8437097;HER GUN +1 KAMP YERI Besikgol Yaylasi, Dortyol, Hatay.  : @meliherozan
Eğni Yaylası;34.9138499000001,37.358492;https://www.kampyerleri.org/adana-kamp-alanlari/
Varda Köprüsü;35.2096689,37.3878818;https://www.kampyerleri.org/adana-kamp-alanlari/
Göller Yaylası;36.1052196000001,37.6952257;Konum-Adana/Kozan-Goller yaylasiKullanici adi: https://www.instagram.com/dogukandokuzcu/
Başkonuş Yaylası;36.5830243,37.5670741;Baskonus Yaylasi, Onikisubat, Kahramanmaras.Kaynak: https://www.instagram.com/gocebegenc/
Gülek Kalesi;34.791237,37.270154;HER GUN +1 KAMP YERI Gulek Kalesi, Mersin'in Tarsus ilcesinde 650 metre yuksekliktedir. Gulek Kalesi'ne manzara izlemek icin ve kamp yapmak icin cikabilirsiniz.  : @emrahrail
Yanışlı Köyü Sahil;33.4883559,36.1529497;Yanisli Koyu, Gulnar, Aydincik, Silifke, Mersin. (Fotograflarin tamami icin SOLA KAYDIR ) Not: Bu guzelligi katletmek isteyenler gitmesin.  : @seyyahingezirehberi
Topasır Milli Parkı;34.5110607,37.1304187;Cehennem Deresi, Sebil Koyu, Camliyayla, Mersin.Kaynak: https://www.instagram.com/mersinsensin/
Medetsiz Doruğu;34.630065,37.392698;Medetsiz Dorugu (Bolkar Daglari), Akdeniz Bolgesi, Mersin Ili, Camliyayla Ilcesi'ndedir.Kaynak: https://www.instagram.com/mesutokaneksi/
Karasu Kanyonu ve Şelalesi;34.7047269,37.182074;Karasu Kanyonu ve Selalesi, Bogazpinar Koyu, Tarsus, Mersin.Kaynak: https://www.instagram.com/hndetkmk/
Kayacı Vadisi;34.1950184,36.5986337;Mersin'de gezilecek yerlerden biri olan ve Erdemli ilcesinin sinirlari icerisinde bulunan Kayaci Vadisi, dogal guzelligiyle bilinmektedir. Vadinin sahip oldugu yesillikler, insana huzur vermektedir. Ayni zamanda Vadi icerisinden gecen Limonlu Cayi, vadiye ayri bir huzur katmaktadir. Vadinin icerisinde bulunan Limonlu Cayi'nin ozelligi 130 kilometre uzunlugunda olmasi ve Akdeniz'e dokulmesidir. Lamos Kanyonu olarak bilinen Kayaci Vadisi Doga tutkunlarinin mutlaka gormesi gereken yerlerdendir. Bu vadide heyecanli yuruyus yollari degisik bitki turleri  ve hayvan cesitleri bulunmaktadir. Bunun yaninda balik tutma, kaya tirmanisi yapma, piknik yapma, fotograf cekme, avlanma ve kamp kurma  gibi imkanlarda bulabilirsiniz.  Ulasim: Kayaci Vadisi Mersin iline bagli olan Erdemli ilcesinin, Limonlu beldesinde yer almaktadir. Limonlu ilcesi Mersin'e 45 kilometre mesafede bulunur. Aracinizla buraya ulasmak icin Limonlu beldesine girdikten sonra, beldenin tam merkezinde bulunan trafik isiklarindan saga dogru sapilir. Limonlu merkezinden yaklasik 12 kilometre eski asfalt yoldan devam edilir. Bu yolda karsiniza cikan tavuk ciftliginden sonra dereye dogru devam eden yol takip edilerek, Limonlu Cayi'na ulasilir. Ozel araciniz yoksa buraya ulasmak oldukca zordur ancak yine de Limonlu ya giden araclari kullanarak, Limonlu merkezine gelip, daha sonra taksiyle gitme imkani bulabilirsiniz.  : @gulserenknli
Adrasan Yakınlarında Kamp Alanı;30.4697131,36.3140798;Yaklasik 5 gundur Antalya'nin farkli yerlerinde kamptayim. Anladigim kadariyla burada sakli kalmis koylar haricinde cadir kurabilecegimiz tek yer kamp isletmeleri. Sazak (Korsan) koyuna gitme hedefiyle Adrasan'dan yola ciktik ama cantalarimizin agirligindan daha yakin bir yerde konaklama ihtiyaci duyduk. Adrasan plajindan bakildiginda hemen karsida kucucuk bir koy gozukuyor. Onunde de birkac tekne vardi. Burasi tahminimce google mapste Adrasan plaji yazildiginda ekte ekran goruntusuyle yukledigim konumda kaliyor. (Ismi belirtilmemis) Buraya sahilin sol bitiminde kalan sokaktan girildiginde su uzerinden saga uzanan ikinci kopruden(karsisinda market vardi) gecip, burayi takip ederek tepeye dogru tirmanan ilk sol yokus patika yoldan devam ederek yaklasik 4 kmlik bir yuruyusle ulastik. Yol ilk basta bir aracin gececegi genislikte, daha sonra tek bir insanin gecebilecegi incelige iniyor ve sahile ulasan noktada iyice zorlasiyor. Ama vardiginizda cam gibi bir su sizi karsilayacak. Ve sanki size ait olan bir sahilcik. :)Burada bizim disimizda 3 cadir vardi. Onlardan cok fazla akrep oldugunu ogrendik. Guvenli bir yer ayarlayip ates yakabildik.(Odun sikintisi vardi) Bir gece konaklayip ayrildik.Olumlu acidan bakildiginda kendi yemegimizi ateste pisirdik ve sahile cadir kurabildik,deniz ayaklarimizin altindaydi. Korsan koyuna da buradan ulasilabiliyormus, onumuzden cok kampci gitti. Vazgecenler buraya gelebilir. Olumsuz acidan bakildiginda rahat bir ulasimi, lavabo ve dusu, tatli suyu yok. Akrep sahiden cok. Instagram: https://www.instagram.com/ogutlubuse/
Adrasan Koyu;30.4658175,36.3025846;Antalya Adrasan Koyu'ndan muhtesem kare...Kaynak: https://www.instagram.com/ozg.dgn/
Kleopatra Plajı;30.5522919,36.5251739;Phaselis (Faselis), Kemer yakinlarindaki antik kent olarak bilinir. Olimpos Beydaglari Milli Parki icinde cam ve sedir ormanlari arasinda yer alan antik Faselis kenti Kemer'in 16 km batisindadir. Antik kent disindaki bircok alanda kamp yapilmaktadir.Kaynak: https://www.instagram.com/bilirberrin/
Gelidonya Feneri;30.4097378,36.2193923;"Adrasan" tabelasindan kasabaya giriyor ardindan "Karaoz"u gorene kadar ilerleyerek yola devam ediyorsunuz. Karagoz'e girdikten sonra sahilden sola donup "Korsan Koyu" istikametinde devam ediyorsunuz. (Yollar bir hayli bozuk) koya sapmadan toprak yoldan devam ederek patika bir yol baslangici ve tabela goreceksiniz ve 2-3 km lik bir tirmanis sonucu bu guzel manzarayla karsilasacaksiniz. (Aman arilara dikkat)Fotograf: Suleyman Yavuz - yavuz_226@hotmail.com
Korsan Camping;30.4071404,36.2506691;2017 yilinda 10.000 m2 ormanlik alan icerisine once kendi evimizi yaparak insaa etmeye basladigimiz aile  isletmemiz 2018 yilindan beri faaliyet vermekte.Likya yolunun Karaoz - Adrasan bolumu uzerinde bulunan alanimizda Bungalov evleri, ahsap kamelya ve cadir alanlari olmak uzere her istege uygun konaklama olanagi mevcut.Evler birbirinden ayri, onlerinde oturmalik cardagi, golge ve meyve veren  muz agaclari bulunmakta. 1+1 tum ev arac gerec ve ihtiyaclari icerisinde mevcut..Kamelyalar 20 adet ve bircogu cam agaclarinin golgesinde, yerden yuksek, catili, elektrik ve isigi mevcut, uzerine cadir kurulabilen 6m2 yerlerdir. .Cadircilar icin alanda Dus , Tuvalet , Wi-Fi , Buzdolabi, Mutfak, Camasir makinesi mevcuttur. Ve ucretsizdir. . Denize (korsan koyu) uzakligimiz 5-6 dk 300m yurume mesafesinde, koy taslik ve sahili kisadir hemen yakindaki sahil kumsal ve derin degil sigdir.3km arac ile 2 km de Likya yolundan gidilerek ulasila bilen Gelidonya Feneri de bide yakindir. .Bilinen kamp alanlarinin aksine fiyatlarimiz kisi basi degil cadir basi yada ev fiyatidir. Ve her zaman en dusuk fiyatli Camping olma misyonumuz vardir. .Alanda kontrollu ates yakimi ve kendi yemeginizi yapmak serbesttir, yapmak istemeyen icin ortak alan kafeteryamizda kahvalti ve yemek hizmeti vermekteyiz.En yakin market Karaoz koyunde 4 km mesafededir. Kafeteryamizda aparatif tost gozleme vb ve sicak soguk alkollu alkolsuz icecekler mevcuttur.Haftanin bazi gunleri canli muzik olmaktadir. Aksamlari arkadas gruplari istegi uzerine karaoke ve eglenceler yapilmaktadir..Alanimizda kahvalti ve yemeklerde kullandigimiz sut, yogurt, ayran, bal, tereyagi, yumurta, domates, biber, fasulye misir vb. bahcemizden ve hayvanlarimizdan dogal olarak elde etmekteyiz..Tesisimize her turlu evcil hayvan getirilebilmektetir. Dogayi ve hayvani seven insan, guzel ve iyi insandir dusuncesini savunmaktayiz.Kendimize ait 2 kopek  3 kedi  bir cok  , inek  ve koyun da bulunmaktadir...: 0545 448 4541https://www.instagram.com/korsancamping/
Göynük Kanyonu;30.5340986,36.6826103;Goynuk Kanyonu ile ilgili tum bilgilere blog adresinden ulasabilirsiniz.BLOG: https://www.kampyerleri.org/goynuk-kanyonu-gezi-rehberi-antalya/
Patara Kum Tepeleri;29.4491583,36.2287917;Kas ile Kalkan arasindaki sahil yolu uzerinde bulunan kanyon agzi plaji. Yer altindan akmakta olan suyun deniz kiyisinda kumlar arasindan suzulmesi sonucu suyu genel olarak serin ve turkuaz rengindedir.Kaynak: https://www.instagram.com/sebnemkarakozak/
Büyükçakıl Plajı;29.6515685,36.1916289;Buyuk Cakil Plaji Kas merkezin 1.750 metre dogusundaki plaj. Jandarma binasinin onunden gecen asfalt yol takip edilerek ulasilabilir. Kucuk Cakil Plaji'nin bulundugu koyun dogusundadir.Kaynak: https://www.instagram.com/bsnakhatun/
Kale Üçağız;29.986909,36.2211104;Demre, Tasdibi Plaji, Antalya.Kaynak: https://www.instagram.com/bilirberrin/
Finike Mağaralı Koy;32.3129529,36.5279845;Antalya Alanya'ya 40 km uzaklikta, Sapadere Koyu'nde bulunan Sapadere Kanyonu, 750 metre uzunlugunda olup yaklasik 400 metre yukseklige sahiptir. Sapadere Cayi'nin cikis noktasinda bulunan kanyon uzerine yapilan celik desteklerle yuruyus yolu ve kanyon girisinde insa edilen mesire yeri, kir gazinosu gibi yatirimlar ile kanyon gorulmeye deger bir turizm alani haline getirilmistir.  Alanya'ya 40 kilometre, Antalya Hava Limani'na 175 kilometre uzaklikta olan Sapadere Kanyonu'na Alanya-Gazipasa karayolundan Demirtas Kasabasi'na giden asfalt yol ile rahatlikla ulasabilmektedir. Sapadere Kanyonu girisinden yaklasik 300 metre iceride gorulmeye deger bir selale ve bu selalenin dokuldugu yerde ahsap ve celik yapi malzemesi kullanilarak olusturulmus, cevreye zarar vermeyecek ve gerektiginde kaldirilabilecek sekilde insa edilmis bir platform bulunmaktadir. Alanya'nin yaz sicagindan kurtulup bir nebze olsun serinlemek isteyenlerin ugrak yeri haline gelen Sapadere Kanyonu gercekten gorulmeye deger bir doga harikasidir. Sapadere Kanyonu'na gidildiginde, Sapadere Koyu icerisindeki su degirmenini, ipek dokuma atolyesini gormeden donulmemelidir. Yaylalardaki karlardan eriyerek gelen buz gibi sularda yetisen alabaliklardan yemeyi unutmayin. Su kenarina kurulu cardaklarda temiz orman havasini teneffus ederken sehrin stresinin ve gurultusunun uzaklasmak da mumkun olmaktadir. Sapadere Kanyonu'nda izin alarak kamp ve doga sporlari yapabilirsiniz.  : https://www.instagram.com/sunguryprk/
Gökbük Kanyonu;30.1194477,36.4555056;Antalya'nin Finike ilcesinde bulunan Gokbuk Kanyonu 4 kilometre uzunluga ve 300 metre derinlige sahiptir. Doga tutkunlarinin mutlaka gormesi gereken yerlerin basinda gelmektedir.Kaynak: https://www.instagram.com/merve_ylldz/
Üzümdere Milli Parkı;31.6921235,37.1209064;Uzumdere Koyu/Ibradi/Antalya
Hisarçandır Yaylası;30.453119,36.762093;Hisarcandir, Antalya merkeze 33 km uzaklikta bulunan ve sehrin manzarasini izlemek icin en guzel noktalardan birisidir. Bisiklet ve yuruyus rotalariyka Antalyali doga severlerin sik sik ziyaret ettigi bolgelerden birisi olan Hisarcandir ayni zamanda kamp ve diger doga sporlari icin de uygun bir yerdir. Koyde cesme var. Bakir bir alanda kamp yapabilirsiniz. Bol bol Sedir ve Cam agaclariyla suslu olan Hisarcandir, kaya tirmanisi icin de uygun cografyaya sahiptir. Antalya'ya hem bu kadar yakin hem de manzarasi guzel bir yerde kamp yapmak istiyorsaniz Hisarcandir'i mutlaka gormelisiniz. : https://www.instagram.com/semadogan._/
Köprülü Kanyon;31.1791992,37.1953306;Koprulu Kanyon, Isparta'nin Sutculer ilcesinde baslayan ve Antalya'da denize dokulen, rafting yapmaya uygun bir vadidir. Ayrica kanyon uzerinden kamp veya doga sporlari yapilabilmektedir.BLOG: https://www.kampyerleri.org/koprulu-kanyon-milli-parki-antalya/Kaynak: https://www.instagram.com/mbeyazdag/
Bey Dağları;30.821768,37.0029982;Kursunlu Selalesi, Antalya-Isparta karayolunun 24. km'nden sola donulerek 7 km devam edildiginde ulasilan bir selaledir. Kursunlu Selalesi'ne su 18 metre yukseklikten dokulmekte ve kucuk selaleciklerle 7 adet kucuk golet birbirine baglanmaktadir. Kamp yapmak mumkundur.Kaynak: https://www.instagram.com/alperendiktas/
Ekşili Göleti;30.6963889,37.1569444;Antalya Dosemealti'nda bulunan Eksili goleti son yillarda yapilan onemli yatirimlarla ve doganin sundugu muazzam guzellikleriyle ziyaretcilerine mukemmel bir kamp firsati sunan cennetidir. Eksili Goleti'nde kamping, kano, dag bisikleti, flying fox yapabilirsiniz. Biyolojik cesitliligi, endemik floral yapisiyla ilgi ceken goletin cevresinde trekking ve benzeri aktiviteler icin uygun parkurlar bulunuyor. Dosemealti Eksili goleti gercekten bakir kalmis dogal sulak alanlarimizdan birisi.Bilhassa bu sene yagislarin da iyi gitmesi sebebiyle su seviyesinin arttigi Eksili Goleti'nin ulasimi rahatlatilarak hafta sonlari ailelerin durak noktasi olabilir.Bu dogal mekan yerli ve yabanci turist cekebilecek nitelikte.
Doyran Göleti;30.5256307,36.8976363;Doyran, Antalya'ya 15 km uzaklikta, Saklikent yolu uzerinde bir mahalledir. ... Bu akarsuyun uzerinde Doyran Goleti de bulunmaktadir. Doyran Goleti'nde kamp yapilabilmektedir.Kaynak: https://www.instagram.com/evrimcetiner/
Eğri Göl Yaylası;32.204833,36.930529;Egrigol Yaylasi'na Antalya Gundogmus ilce merkezinden yaklasik 40 kilometrelik asfalt bir yolla ulasiliyor. Ilcenin kuzeydogusuna konumlanan Egrigol Yaylasi, ismini yerlesimin ortasindaki golden aliyor. Orta Toros Daglarinin kucakladigi bir canakta yer alan yayla, nefis bir kamp alani ayni zamanda. Guneyini Geyik Dagi (2 bin 890), kuzeyini ise Karagol (2 bin 531) ve Tanri (2 bin 408) tepeleri kusatmis durumda. Yaylanin batisinda Ilvat, Duruca, Kullu golleri yer aliyor. Antalya il merkezine 180 kilometre uzaklikta yer alan Egrigol Yaylasina Gundogmus ilcesinin yani sira Akseki ve Bozkir (Konya) ilcelerinden ulasilabiliyor. Ilce sinirlarinda yer alan Alara Selalesi mutlaka gorulmeli. Egrigol Yaylasi'nda kamp ve doga sporlari yapabilirsiniz.  : https://www.instagram.com/keramialtinay/
Uçansu Şelalesi - Gündoğmuş;32.1536243,36.7574359;Antalya'nin Gundogmus Ilcesi'nde, Toroslarin zirvesinde dogan ve yaklasik 50 metre yuksekligindeki Ucansu Selalesi, 'ormanin icindeki sakli cennet' olarak taninmaya baslandi. Kayabuku ve Eskibag koylerinin sinirlarinda, Toros Daglari'nin ortasinda saklanan Ucansu Selalesi, gizemli guzelligiyle ilgi odagi oluyor.Kaynak: https://www.instagram.com/keramialtinay/
Altınbeşik Mağarası Milli Parkı;31.6316986,37.0381878;Altinbesik Magarasi Milli Parki, Antalya ili, Ibradi ilcesine 9.7 km. uzaklikta Urunlu mahallesi yaklasik 5 km. guneydogusunda, derin ve sarp Manavgat vadisinin bati yamacinda yer alan milli park.
Tazı Kanyonu;31.1765921,37.2366837;Halkin 'Tazi Kanyonu' olarak adlandirdigi ve Koprucay Nehri'nin yuksekligi 200 metreyi bulan kayaliklar arasindan gectigi doga harikasi kanyon, tatilci ve turistlerin son donemdeki en gozde merkezi haline geldi. 14 kilometrelik Koprulu Kanyon Milli Parki icinde, her yil binlerce tatilci ve turistlerin rafting basta olmak uzere trekking, tirmanis gibi bircok dogal aktivite icin ziyaret ettigi bolgenin ust kisimlarinda belirlenen kanyonun muhtesem manzarasi, doga yuruyus gruplarini kendine cekiyor.Kaynak: https://www.instagram.com/kdutlar/
