Account address,Show boosts,Notify on new posts,Languages
VeryBadLlama@mas.to,true,false,
randometc@mastodon.social,true,false,
nemeciii@mastodon.social,true,false,
nattyover@sciencemastodon.com,true,false,
conansysadmin@mstdn.social,true,false,
MalthusJohn@c.im,true,false,
CelloMomOnCars@mastodon.social,true,false,
ernie@writing.exchange,true,false,
dangillmor@mastodon.social,true,false,
InfopointA@det.social,true,false,
MeanwhileinCanada@ohai.social,true,false,
petergleick@fediscience.org,true,false,
darrylxxx@mastodon.ie,true,false,
gwagner@fediscience.org,true,false,
gotofritz@fosstodon.org,true,false,
ProjectPhysX@mast.hpc.social,true,false,
josephgruber@josephgruber.space,true,false,
ethz_spur@mas.to,true,false,
wilf@social.coop,true,false,
LukaszHorodecki@pol.social,true,false,
tzanio@hachyderm.io,true,false,
KadriSimson@respublicae.eu,true,false,
sahra_wagenknecht@social.linksfraktion.de,true,false,
dmitri@mas.to,true,false,
jedbrown@hachyderm.io,true,false,
paulg@mas.to,true,false,
shansterable@c.im,true,false,
gkalinkat@det.social,true,false,
agrinsted@fediscience.org,true,false,
tristramg@mamot.fr,true,false,
Zitzero@julialang.social,true,false,
ben@werd.social,true,false,
TimHarford@econtwitter.net,true,false,
